user_id,tag,basic_value,search_value,action
user1,Budget Preference,,Medium,supplemented
user1,Group Size,,Solo,supplemented
user1,Transport Preference,,Self-driving,supplemented
user10,Travel Purpose,Urban,Food,conflict_updated
user10,Planning Style,go with the flow,well-planned,conflict_updated
user10,Transport Preference,,Self-driving,supplemented
user10,Trip Duration Preference,,weekend,supplemented
user10,Group Size,Small Group (3–5),Solo,rejected_weak_evidence
user100,Budget Preference,,Medium,supplemented
user100,Group Size,,Solo,supplemented
user100,Transport Preference,,Self-driving,supplemented
user100,Trip Duration Preference,,weekend,supplemented
user100,Planning Style,Spontaneous,well-planned,rejected_weak_evidence
user11,Budget Preference,,Medium,supplemented
user11,Transport Preference,,Self-driving,supplemented
user11,Trip Duration Preference,,weekend,supplemented
user11,Group Size,Large Group(6+),Solo,rejected_weak_evidence
user12,Planning Style,semi-planned,well-planned,conflict_updated
user12,Budget Preference,,Medium,supplemented
user12,Group Size,,Solo,supplemented
user12,Transport Preference,,Self-driving,supplemented
user12,Travel Purpose,Urban,Relaxation,rejected_weak_evidence
user13,Interest Category,beach,outdoors,conflict_updated
user13,Budget Preference,,Medium,supplemented
user13,Transport Preference,,Self-driving,supplemented
user13,Trip Duration Preference,,weekend,supplemented
user13,Group Size,Family,Solo,rejected_weak_evidence
user13,Travel Purpose,Urban,Relaxation,rejected_weak_evidence
user13,Planning Style,go with the flow,well-planned,rejected_weak_evidence
user14,Planning Style,semi-planned,well-planned,conflict_updated
user14,Budget Preference,,Medium,supplemented
user14,Group Size,,Couple,supplemented
user14,Transport Preference,,Flights,supplemented
user14,Trip Duration Preference,,weekend,supplemented
user15,Interest Category,outdoors,architecture,conflict_updated
user15,Planning Style,semi-planned,well-planned,conflict_updated
user15,Transport Preference,,Self-driving,supplemented
user15,Trip Duration Preference,,weekend,supplemented
user15,Travel Purpose,Urban,Relaxation,rejected_weak_evidence
user16,Interest Category,wildlife,outdoors,conflict_updated
user16,Budget Preference,,Medium,supplemented
user16,Transport Preference,,Self-driving,supplemented
user16,Trip Duration Preference,,weekend,supplemented
user16,Travel Purpose,Cultural,Relaxation,rejected_weak_evidence
user17,Budget Preference,,Medium,supplemented
user17,Group Size,,Solo,supplemented
user17,Transport Preference,,Self-driving,supplemented
user17,Trip Duration Preference,,weekend,supplemented
user18,Group Size,,Couple,supplemented
user18,Transport Preference,,Flights,supplemented
user18,Trip Duration Preference,,weekend,supplemented
user19,Budget Preference,Luxury,Medium,conflict_updated
user19,Interest Category,museums,architecture,conflict_updated
user19,Planning Style,semi-planned,well-planned,conflict_updated
user19,Group Size,,Solo,supplemented
user19,Transport Preference,,Self-driving,supplemented
user19,Trip Duration Preference,,weekend,supplemented
user2,Travel Purpose,Urban,Relaxation,conflict_updated
user2,Interest Category,food tours,architecture,conflict_updated
user2,Budget Preference,,Medium,supplemented
user2,Group Size,,Solo,supplemented
user2,Transport Preference,,Self-driving,supplemented
user2,Trip Duration Preference,,weekend,supplemented
user20,Budget Preference,,Medium,supplemented
user20,Group Size,,Couple,supplemented
user20,Transport Preference,,Self-driving,supplemented
user20,Trip Duration Preference,,weekend,supplemented
user21,Interest Category,landmarks,architecture,conflict_updated
user21,Trip Duration Preference,short(3-5d),weekend,conflict_updated
user21,Budget Preference,,Medium,supplemented
user21,Group Size,,Solo,supplemented
user21,Transport Preference,,Self-driving,supplemented
user22,Interest Category,performances,architecture,conflict_updated
user22,Planning Style,semi-planned,well-planned,conflict_updated
user22,Budget Preference,,Medium,supplemented
user22,Group Size,,Solo,supplemented
user22,Transport Preference,,Self-driving,supplemented
user22,Trip Duration Preference,,weekend,supplemented
user23,Interest Category,landmarks,architecture,conflict_updated
user23,Budget Preference,,Medium,supplemented
user23,Transport Preference,,Self-driving,supplemented
user23,Trip Duration Preference,,weekend,supplemented
user24,Group Size,Large Group(6+),Family,conflict_updated
user24,Interest Category,shopping & fashions,architecture,conflict_updated
user24,Planning Style,semi-planned,well-planned,conflict_updated
user24,Budget Preference,,Medium,supplemented
user24,Transport Preference,,Self-driving,supplemented
user24,Trip Duration Preference,,long(6-14d),supplemented
user25,Budget Preference,,Medium,supplemented
user25,Transport Preference,,Self-driving,supplemented
user25,Trip Duration Preference,,weekend,supplemented
user25,Group Size,Small Group (3–5),Solo,rejected_weak_evidence
user25,Travel Purpose,Food,Relaxation,rejected_weak_evidence
user26,Interest Category,art,architecture,conflict_updated
user26,Group Size,,Solo,supplemented
user26,Transport Preference,,Self-driving,supplemented
user26,Trip Duration Preference,,weekend,supplemented
user27,Planning Style,go with the flow,well-planned,conflict_updated
user27,Budget Preference,,Medium,supplemented
user27,Transport Preference,,Self-driving,supplemented
user27,Trip Duration Preference,,weekend,supplemented
user28,Budget Preference,,Medium,supplemented
user28,Transport Preference,,Self-driving,supplemented
user28,Trip Duration Preference,,weekend,supplemented
user29,Budget Preference,,Medium,supplemented
user29,Transport Preference,,Self-driving,supplemented
user29,Trip Duration Preference,,weekend,supplemented
user3,Budget Preference,,Medium,supplemented
user3,Transport Preference,,Self-driving,supplemented
user3,Trip Duration Preference,,weekend,supplemented
user30,Budget Preference,Luxury,Medium,conflict_updated
user30,Travel Purpose,Food,Adventure,conflict_updated
user30,Interest Category,outdoors,food tours,conflict_updated
user30,Group Size,,Couple,supplemented
user30,Transport Preference,,Self-driving,supplemented
user30,Trip Duration Preference,,weekend,supplemented
user30,Planning Style,go with the flow,well-planned,rejected_weak_evidence
user31,Interest Category,food tours,architecture,conflict_updated
user31,Planning Style,semi-planned,well-planned,conflict_updated
user31,Budget Preference,,Medium,supplemented
user31,Transport Preference,,Self-driving,supplemented
user31,Trip Duration Preference,,long(6-14d),supplemented
user32,Transport Preference,,Self-driving,supplemented
user33,Budget Preference,,Medium,supplemented
user33,Group Size,,Solo,supplemented
user33,Transport Preference,,Self-driving,supplemented
user33,Trip Duration Preference,,weekend,supplemented
user33,Travel Purpose,Urban,Relaxation,rejected_weak_evidence
user34,Budget Preference,Low,Medium,conflict_updated
user34,Transport Preference,,Self-driving,supplemented
user34,Trip Duration Preference,,weekend,supplemented
user34,Travel Purpose,Food,Relaxation,rejected_weak_evidence
user34,Planning Style,go with the flow,well-planned,rejected_weak_evidence
user35,Interest Category,food tours,architecture,conflict_updated
user35,Budget Preference,,Medium,supplemented
user35,Transport Preference,,Self-driving,supplemented
user35,Trip Duration Preference,,weekend,supplemented
user36,Interest Category,landmarks,architecture,conflict_updated
user36,Budget Preference,,Medium,supplemented
user36,Group Size,,Solo,supplemented
user36,Transport Preference,,Self-driving,supplemented
user36,Trip Duration Preference,,weekend,supplemented
user36,Planning Style,Spontaneous,well-planned,rejected_weak_evidence
user37,Interest Category,outdoors,architecture,conflict_updated
user37,Planning Style,semi-planned,well-planned,conflict_updated
user37,Budget Preference,,Medium,supplemented
user37,Group Size,,Couple,supplemented
user37,Transport Preference,,Self-driving,supplemented
user37,Trip Duration Preference,,weekend,supplemented
user37,Travel Purpose,Urban,Relaxation,rejected_weak_evidence
user38,Budget Preference,Luxury,Medium,conflict_updated
user38,Transport Preference,,Self-driving,supplemented
user38,Trip Duration Preference,,weekend,supplemented
user38,Planning Style,go with the flow,well-planned,rejected_weak_evidence
user39,Budget Preference,,Medium,supplemented
user39,Group Size,,Solo,supplemented
user39,Transport Preference,,Self-driving,supplemented
user39,Trip Duration Preference,,weekend,supplemented
user4,Interest Category,landmarks,architecture,conflict_updated
user4,Planning Style,go with the flow,well-planned,conflict_updated
user4,Budget Preference,,Medium,supplemented
user4,Transport Preference,,Self-driving,supplemented
user4,Trip Duration Preference,,weekend,supplemented
user4,Group Size,Family,Solo,rejected_weak_evidence
user4,Travel Purpose,Adventure,Relaxation,rejected_weak_evidence
user40,Travel Purpose,Urban,Cultural,conflict_updated
user40,Budget Preference,,Medium,supplemented
user40,Transport Preference,,Self-driving,supplemented
user40,Trip Duration Preference,,long(6-14d),supplemented
user41,Interest Category,wildlife,outdoors,conflict_updated
user41,Transport Preference,,Self-driving,supplemented
user41,Trip Duration Preference,,weekend,supplemented
user42,Budget Preference,,Medium,supplemented
user42,Transport Preference,,Self-driving,supplemented
user42,Trip Duration Preference,,weekend,supplemented
user43,Planning Style,semi-planned,well-planned,conflict_updated
user43,Budget Preference,,Medium,supplemented
user43,Transport Preference,,Self-driving,supplemented
user44,Budget Preference,,Medium,supplemented
user44,Group Size,,Couple,supplemented
user44,Transport Preference,,Flights,supplemented
user44,Trip Duration Preference,,weekend,supplemented
user45,Planning Style,semi-planned,well-planned,conflict_updated
user45,Trip Duration Preference,short(3-5d),weekend,conflict_updated
user45,Budget Preference,,Medium,supplemented
user45,Group Size,,Solo,supplemented
user45,Transport Preference,,Self-driving,supplemented
user45,Travel Purpose,Food,Relaxation,rejected_weak_evidence
user46,Budget Preference,High,Medium,conflict_updated
user46,Interest Category,art,architecture,conflict_updated
user46,Planning Style,semi-planned,well-planned,conflict_updated
user46,Transport Preference,,Self-driving,supplemented
user46,Trip Duration Preference,,weekend,supplemented
user47,Interest Category,landmarks,architecture,conflict_updated
user47,Budget Preference,,Medium,supplemented
user47,Transport Preference,,Self-driving,supplemented
user47,Trip Duration Preference,,weekend,supplemented
user47,Group Size,Small Group (3–5),Solo,rejected_weak_evidence
user47,Travel Purpose,Food,Relaxation,rejected_weak_evidence
user47,Planning Style,Spontaneous,well-planned,rejected_weak_evidence
user48,Planning Style,go with the flow,well-planned,conflict_updated
user48,Group Size,,Couple,supplemented
user48,Transport Preference,,Self-driving,supplemented
user48,Trip Duration Preference,,short(3-5d),supplemented
user49,Travel Purpose,Adventure,Relaxation,conflict_updated
user49,Interest Category,food tours,architecture,conflict_updated
user49,Planning Style,semi-planned,well-planned,conflict_updated
user49,Budget Preference,,Medium,supplemented
user49,Group Size,,Solo,supplemented
user49,Transport Preference,,Self-driving,supplemented
user5,Interest Category,shopping & fashions,architecture,conflict_updated
user5,Planning Style,Spontaneous,well-planned,conflict_updated
user5,Budget Preference,,Medium,supplemented
user5,Transport Preference,,Self-driving,supplemented
user5,Trip Duration Preference,,short(3-5d),supplemented
user50,Budget Preference,,Medium,supplemented
user50,Group Size,,Solo,supplemented
user50,Transport Preference,,Self-driving,supplemented
user50,Trip Duration Preference,,weekend,supplemented
user50,Planning Style,Spontaneous,well-planned,rejected_weak_evidence
user51,Interest Category,performances,outdoors,conflict_updated
user51,Budget Preference,,Medium,supplemented
user51,Transport Preference,,Flights,supplemented
user51,Trip Duration Preference,,weekend,supplemented
user51,Travel Purpose,Urban,Relaxation,rejected_weak_evidence
user52,Travel Purpose,Adventure,Relaxation,conflict_updated
user52,Interest Category,food tours,architecture,conflict_updated
user52,Planning Style,semi-planned,well-planned,conflict_updated
user52,Budget Preference,,Medium,supplemented
